"Story","Title","Result","Date","Stability","Duration (s)"
"Contact page","User sends message via contact form","SUCCESS","2019-02-11T20:38:11.808+02:00[Europe/Kiev]","0.0","8.14"
"Contact page","User tries to send message with blank form fields","SUCCESS","2019-02-11T20:38:20.048+02:00[Europe/Kiev]","0.0","3.65"
"Main page","User can go to main page via logo","SUCCESS","2019-02-11T20:38:23.764+02:00[Europe/Kiev]","0.0","5.88"
"Main page","User can browse through images main carousel","SUCCESS","2019-02-11T20:38:29.697+02:00[Europe/Kiev]","0.0","3.47"
"Wedding page","User can open Wedding page","SUCCESS","2019-02-11T20:38:33.23+02:00[Europe/Kiev]","0.0","9.75"
"Wedding page","User can browse through images in viewer","SUCCESS","2019-02-11T20:38:43.041+02:00[Europe/Kiev]","0.0","16.9"
