"Story","Title","Result","Date","Stability","Duration (s)"
"When main page","Check link main","SUCCESS","2019-02-07T10:47:44.269+02:00[Europe/Kiev]","0.0","10.72"
"When main page","Check logo link","SUCCESS","2019-02-07T10:47:55.093+02:00[Europe/Kiev]","0.0","5.47"
