"Story","Title","Result","Date","Stability","Duration (s)"
"When main page","Check link main","SUCCESS","2019-02-07T18:48:34.8+02:00[Europe/Kiev]","0.0","7.24"
"When main page","Check logo link","SUCCESS","2019-02-07T18:48:42.147+02:00[Europe/Kiev]","0.0","4.02"
