"Story","Title","Result","Date","Stability","Duration (s)"
"When contact page","Submit blank form","SUCCESS","2019-02-07T18:48:48.236+02:00[Europe/Kiev]","0.0","3.38"
"When contact page","Send message","SUCCESS","2019-02-07T18:48:51.677+02:00[Europe/Kiev]","0.0","4.32"
